date,volcano,product,value,baseline,zscore,severity,detected_at
2022-01-26T18:59:52,Lascar,so2,303.8,0.1,607.4,red,2026-05-10T07:50:57.786570+00:00
2021-08-23T17:41:29,Copahue,so2,302.6,0.1,605.0,red,2026-05-10T07:50:57.786570+00:00
2022-01-28T18:22:13,Lascar,so2,293.2,0.1,586.1999999999999,red,2026-05-10T07:50:57.786570+00:00
2025-11-07T19:06:55,Planchon-Peteroa,so2,293.2,0.1,586.1999999999999,red,2026-05-10T07:50:57.786570+00:00
2026-02-09T18:09:59,Lascar,so2,291.3,0.1,582.4,red,2026-05-10T07:50:57.786570+00:00
2025-03-19T18:36:59,Lascar,so2,288.1,0.1,576.0,red,2026-05-10T07:50:57.786570+00:00
2025-03-02T18:51:14,Lascar,so2,286.0,0.1,571.8,red,2026-05-10T07:50:57.786570+00:00
2025-03-29T18:46:30,Lascar,so2,286.0,0.1,571.8,red,2026-05-10T07:50:57.786570+00:00
2022-11-15T19:02:49,Copahue,so2,282.3,0.1,564.4,red,2026-05-10T07:50:57.786570+00:00
2025-03-16T17:51:14,Lascar,so2,279.6,0.1,559.0,red,2026-05-10T07:50:57.786570+00:00
2023-12-26T18:47:59,Villarrica,so2,279.0,0.1,557.8,red,2026-05-10T07:50:57.786570+00:00
2022-01-17T18:30:03,Lascar,so2,273.2,0.1,546.1999999999999,red,2026-05-10T07:50:57.786570+00:00
2023-01-27T17:58:00,Lascar,so2,268.2,0.1,536.1999999999999,red,2026-05-10T07:50:57.786570+00:00
2022-02-06T18:52:14,Lascar,so2,260.9,0.1,521.5999999999999,red,2026-05-10T07:50:57.786570+00:00
2025-10-08T18:27:52,Planchon-Peteroa,so2,250.7,0.1,501.2,red,2026-05-10T07:50:57.786570+00:00
2022-02-04T17:52:13,Lascar,so2,246.0,0.1,491.8,red,2026-05-10T07:50:57.786570+00:00
2025-03-20T18:17:00,Lascar,so2,235.4,0.1,470.6,red,2026-05-10T07:50:57.786570+00:00
2026-02-16T17:38:09,Lascar,so2,233.9,0.1,467.6,red,2026-05-10T07:50:57.786570+00:00
2026-02-12T18:54:58,Lascar,so2,228.1,0.1,456.0,red,2026-05-10T07:50:57.786570+00:00
2024-02-08T18:22:42,Villarrica,so2,221.5,0.1,442.8,red,2026-05-10T07:50:57.786570+00:00
2025-05-13T18:06:57,Lascar,so2,218.2,0.1,436.2,red,2026-05-10T07:50:57.786570+00:00
2024-01-20T19:22:46,Villarrica,so2,216.8,0.1,433.40000000000003,red,2026-05-10T07:50:57.786570+00:00
2020-09-25T18:03:32,Villarrica,so2,213.5,0.1,426.8,red,2026-05-10T07:50:57.786570+00:00
2022-02-07T18:37:13,Lascar,so2,211.1,0.1,422.0,red,2026-05-10T07:50:57.786570+00:00
2025-07-03T18:51:40,Lascar,so2,208.2,0.1,416.2,red,2026-05-10T07:50:57.786570+00:00
2022-01-13T18:06:03,Lascar,so2,207.2,0.1,414.2,red,2026-05-10T07:50:57.786570+00:00
2025-03-28T17:26:31,Lascar,so2,206.9,0.1,413.6,red,2026-05-10T07:50:57.786570+00:00
2021-09-08T19:22:04,Copahue,so2,204.1,0.1,408.0,red,2026-05-10T07:50:57.786570+00:00
2022-02-10T17:38:10,Lascar,so2,199.9,0.1,399.6,red,2026-05-10T07:50:57.786570+00:00
2021-08-23T19:21:29,Copahue,so2,199.6,0.1,399.0,red,2026-05-10T07:50:57.786570+00:00
2025-03-11T17:46:14,Lascar,so2,196.7,0.1,393.2,red,2026-05-10T07:50:57.786570+00:00
2025-03-02T18:56:13,Lascar,so2,189.3,0.1,378.40000000000003,red,2026-05-10T07:50:57.786570+00:00
2025-02-06T18:06:13,Lascar,so2,187.6,0.1,375.0,red,2026-05-10T07:50:57.786570+00:00
2024-01-21T19:02:47,Villarrica,so2,187.5,0.1,374.8,red,2026-05-10T07:50:57.786570+00:00
2025-02-07T17:46:14,Lascar,so2,179.1,0.1,358.0,red,2026-05-10T07:50:57.786570+00:00
2024-01-16T18:57:46,Llaima,so2,178.9,0.1,357.6,red,2026-05-10T07:50:57.786570+00:00
2024-01-16T18:57:46,Villarrica,so2,178.9,0.1,357.6,red,2026-05-10T07:50:57.786570+00:00
2025-03-07T19:01:14,Lascar,so2,176.4,0.1,352.6,red,2026-05-10T07:50:57.786570+00:00
2026-05-17T17:56:04,Lascar,so2,175.3,0.1,350.40000000000003,red,2026-06-07T11:31:24.629952+00:00
2022-01-18T18:10:04,Lascar,so2,173.9,0.1,347.6,red,2026-05-10T07:50:57.786570+00:00
2022-01-16T18:50:03,Lascar,so2,171.9,0.1,343.6,red,2026-05-10T07:50:57.786570+00:00
2024-01-02T18:18:20,Villarrica,so2,171.9,0.1,343.6,red,2026-05-10T07:50:57.786570+00:00
2022-12-09T18:15:54,Lascar,so2,168.7,0.1,337.2,red,2026-05-10T07:50:57.786570+00:00
2023-11-23T19:09:30,Villarrica,so2,168.6,0.1,337.0,red,2026-05-10T07:50:57.786570+00:00
2026-03-13T18:11:22,Lascar,so2,166.6,0.1,333.0,red,2026-05-10T07:50:57.786570+00:00
2025-04-23T17:41:30,Lascar,so2,166.0,0.1,331.8,red,2026-05-10T07:50:57.786570+00:00
2025-03-22T17:40:38,Lascar,so2,165.7,0.1,331.2,red,2026-05-10T07:50:57.786570+00:00
2022-11-21T18:51:34,Copahue,so2,163.2,0.1,326.2,red,2026-05-10T07:50:57.786570+00:00
2022-11-21T18:51:34,Villarrica,so2,163.2,0.1,326.2,red,2026-05-10T07:50:57.786570+00:00
2022-01-19T17:53:24,Lascar,so2,161.1,0.1,322.0,red,2026-05-10T07:50:57.786570+00:00
2022-12-06T17:35:54,Lascar,so2,158.6,0.1,317.0,red,2026-05-10T07:50:57.786570+00:00
2024-02-19T18:17:43,Villarrica,so2,156.6,0.1,313.0,red,2026-05-10T07:50:57.786570+00:00
2022-10-24T17:39:03,Lascar,so2,156.3,0.1,312.40000000000003,red,2026-05-10T07:50:57.786570+00:00
2025-10-06T19:06:35,Planchon-Peteroa,so2,151.2,0.1,302.2,red,2026-05-10T07:50:57.786570+00:00
2022-01-12T18:21:03,Lascar,so2,149.5,0.1,298.8,red,2026-05-10T07:50:57.786570+00:00
2024-01-01T18:38:20,Villarrica,so2,143.6,0.1,287.0,red,2026-05-10T07:50:57.786570+00:00
2023-12-03T19:22:33,Llaima,so2,142.7,0.1,285.2,red,2026-05-10T07:50:57.786570+00:00
2023-12-03T19:22:33,Villarrica,so2,142.7,0.1,285.2,red,2026-05-10T07:50:57.786570+00:00
2025-03-09T18:21:13,Lascar,so2,141.9,0.1,283.6,red,2026-05-10T07:50:57.786570+00:00
2025-04-02T17:31:30,Lascar,so2,139.2,0.1,278.2,red,2026-05-10T07:50:57.786570+00:00
2025-07-04T18:31:39,Lascar,so2,138.3,0.1,276.40000000000003,red,2026-05-10T07:50:57.786570+00:00
2022-06-10T18:26:05,Lascar,so2,135.6,0.1,271.0,red,2026-05-10T07:50:57.786570+00:00
2022-02-18T18:28:09,Lascar,so2,132.5,0.1,264.8,red,2026-05-10T07:50:57.786570+00:00
2026-02-10T17:49:59,Lascar,so2,132.3,0.1,264.40000000000003,red,2026-05-10T07:50:57.786570+00:00
2024-01-10T19:08:21,Villarrica,so2,132.2,0.1,264.2,red,2026-05-10T07:50:57.786570+00:00
2022-01-11T18:41:03,Lascar,so2,131.1,0.1,262.0,red,2026-05-10T07:50:57.786570+00:00
2023-12-05T18:43:11,Copahue,so2,128.6,0.1,257.0,red,2026-05-10T07:50:57.786570+00:00
2023-12-05T18:43:11,Villarrica,so2,128.6,0.1,257.0,red,2026-05-10T07:50:57.786570+00:00
2025-04-16T18:11:31,Lascar,so2,127.4,0.1,254.60000000000002,red,2026-05-10T07:50:57.786570+00:00
2022-11-28T18:21:03,Lascar,so2,124.2,0.1,248.20000000000002,red,2026-05-10T07:50:57.786570+00:00
2025-08-13T17:43:24,Lascar,so2,121.0,0.1,241.8,red,2026-05-10T07:50:57.786570+00:00
2025-05-28T18:24:03,Lascar,so2,119.9,0.1,239.60000000000002,red,2026-05-10T07:50:57.786570+00:00
2026-02-14T18:14:59,Lascar,so2,118.6,0.1,237.0,red,2026-05-10T07:50:57.786570+00:00
2022-12-04T18:10:54,Lascar,so2,113.5,0.1,226.8,red,2026-05-10T07:50:57.786570+00:00
2026-03-01T18:34:54,Lascar,so2,112.5,0.1,224.8,red,2026-05-10T07:50:57.786570+00:00
2025-09-30T19:19:46,Planchon-Peteroa,so2,111.9,0.1,223.60000000000002,red,2026-05-10T07:50:57.786570+00:00
2025-10-03T18:23:28,Lascar,so2,111.3,0.1,222.4,red,2026-05-10T07:50:57.786570+00:00
2021-09-23T17:57:04,Copahue,so2,108.3,0.1,216.4,red,2026-05-10T07:50:57.786570+00:00
2020-11-06T18:18:34,Copahue,so2,107.5,0.1,214.8,red,2026-05-10T07:50:57.786570+00:00
2022-01-08T17:57:39,Lascar,so2,107.1,0.1,214.0,red,2026-05-10T07:50:57.786570+00:00
2026-03-04T17:39:55,Lascar,so2,106.1,0.1,212.0,red,2026-05-10T07:50:57.786570+00:00
