date,volcano,value,unit,track,product,sensor,image_path
2020-04-24T09:57:00,Villarrica,0.000342,m_LOS,desc,def_desc,Sentinel-1,data_mounts/villarrica/2020/villarrica_20200418T095723_20200424T095700_VV_disp.png
2020-04-24T23:34:06,Villarrica,0.0,m_LOS,asc,def_asc,Sentinel-1,data_mounts/villarrica/2020/villarrica_20200412T233405_20200424T233405_VV_disp.png
2020-04-30T09:57:24,Villarrica,0.000292,m_LOS,desc,def_desc,Sentinel-1,data_mounts/villarrica/2020/villarrica_20200424T095700_20200430T095723_VV_disp.png
2020-05-05T23:42:58,Villarrica,0.0,m_LOS,asc,def_asc,Sentinel-1,data_mounts/villarrica/2020/villarrica_20200423T234257_20200505T234257_VV_disp.png
2020-05-06T09:57:01,Villarrica,0.0,m_LOS,desc,def_desc,Sentinel-1,data_mounts/villarrica/2020/villarrica_20200430T095723_20200506T095700_VV_disp.png
2020-05-12T09:57:24,Villarrica,0.0,m_LOS,desc,def_desc,Sentinel-1,data_mounts/villarrica/2020/villarrica_20200506T095700_20200512T095724_VV_disp.png
2020-05-17T23:42:59,Villarrica,0.0,m_LOS,asc,def_asc,Sentinel-1,data_mounts/villarrica/2020/villarrica_20200505T234257_20200517T234258_VV_disp.png
2020-05-18T09:57:01,Villarrica,5.42e-05,m_LOS,desc,def_desc,Sentinel-1,data_mounts/villarrica/2020/villarrica_20200512T095724_20200518T095701_VV_disp.png
2020-05-24T09:57:25,Villarrica,0.000201,m_LOS,desc,def_desc,Sentinel-1,data_mounts/villarrica/2020/villarrica_20200518T095701_20200524T095725_VV_disp.png
2020-05-29T23:42:59,Villarrica,0.0,m_LOS,asc,def_asc,Sentinel-1,data_mounts/villarrica/2020/villarrica_20200517T234258_20200529T234259_VV_disp.png
2020-05-30T09:57:02,Villarrica,0.0,m_LOS,desc,def_desc,Sentinel-1,data_mounts/villarrica/2020/villarrica_20200524T095725_20200530T095702_VV_disp.png
2020-06-05T09:57:26,Villarrica,0.00051,m_LOS,desc,def_desc,Sentinel-1,data_mounts/villarrica/2020/villarrica_20200530T095702_20200605T095725_VV_disp.png
2020-06-10T23:43:00,Villarrica,0.0,m_LOS,asc,def_asc,Sentinel-1,data_mounts/villarrica/2020/villarrica_20200529T234259_20200610T234300_VV_disp.png
2020-06-11T09:57:03,Villarrica,0.0,m_LOS,desc,def_desc,Sentinel-1,data_mounts/villarrica/2020/villarrica_20200605T095725_20200611T095702_VV_disp.png
2020-06-16T23:42:19,Villarrica,0.0,m_LOS,asc,def_asc,Sentinel-1,data_mounts/villarrica/2020/villarrica_20200610T234300_20200616T234218_VV_disp.png
2020-06-17T09:57:27,Villarrica,5e-05,m_LOS,desc,def_desc,Sentinel-1,data_mounts/villarrica/2020/villarrica_20200611T095702_20200617T095726_VV_disp.png
2020-06-22T23:43:01,Villarrica,0.0,m_LOS,asc,def_asc,Sentinel-1,data_mounts/villarrica/2020/villarrica_20200616T234218_20200622T234300_VV_disp.png
2020-06-23T09:57:03,Villarrica,8.07e-05,m_LOS,desc,def_desc,Sentinel-1,data_mounts/villarrica/2020/villarrica_20200617T095726_20200623T095703_VV_disp.png
2020-06-28T23:42:19,Villarrica,0.0,m_LOS,asc,def_asc,Sentinel-1,data_mounts/villarrica/2020/villarrica_20200622T234300_20200628T234219_VV_disp.png
2020-06-29T09:57:27,Villarrica,0.0005,m_LOS,desc,def_desc,Sentinel-1,data_mounts/villarrica/2020/villarrica_20200623T095703_20200629T095727_VV_disp.png
2020-07-04T23:43:01,Villarrica,0.0,m_LOS,asc,def_asc,Sentinel-1,data_mounts/villarrica/2020/villarrica_20200628T234219_20200704T234301_VV_disp.png
2020-07-05T09:57:04,Villarrica,0.000575,m_LOS,desc,def_desc,Sentinel-1,data_mounts/villarrica/2020/villarrica_20200629T095727_20200705T095704_VV_disp.png
2020-07-10T23:42:20,Villarrica,6.57e-05,m_LOS,asc,def_asc,Sentinel-1,data_mounts/villarrica/2020/villarrica_20200704T234301_20200710T234219_VV_disp.png
2020-07-11T09:57:28,Villarrica,0.0,m_LOS,desc,def_desc,Sentinel-1,data_mounts/villarrica/2020/villarrica_20200705T095704_20200711T095727_VV_disp.png
2020-07-16T23:43:02,Villarrica,0.0,m_LOS,asc,def_asc,Sentinel-1,data_mounts/villarrica/2020/villarrica_20200710T234219_20200716T234302_VV_disp.png
2020-07-17T09:57:05,Villarrica,2.36e-05,m_LOS,desc,def_desc,Sentinel-1,data_mounts/villarrica/2020/villarrica_20200711T095727_20200717T095704_VV_disp.png
2020-07-22T23:42:21,Villarrica,9.24e-06,m_LOS,asc,def_asc,Sentinel-1,data_mounts/villarrica/2020/villarrica_20200716T234302_20200722T234220_VV_disp.png
2020-07-23T09:57:29,Villarrica,0.00137,m_LOS,desc,def_desc,Sentinel-1,data_mounts/villarrica/2020/villarrica_20200717T095704_20200723T095728_VV_disp.png
2020-07-29T09:57:06,Villarrica,2.18e-05,m_LOS,desc,def_desc,Sentinel-1,data_mounts/villarrica/2020/villarrica_20200723T095728_20200729T095705_VV_disp.png
2020-08-03T23:42:21,Villarrica,0.000288,m_LOS,asc,def_asc,Sentinel-1,data_mounts/villarrica/2020/villarrica_20200722T234220_20200803T234221_VV_disp.png
