date,volcano,value,unit,track,product,sensor,image_path
2020-01-01T18:31:02,Villarrica,0.1,tons,,so2_mass,Sentinel-5P,data_mounts/villarrica/2020/villarrica_20200101T1831_SO2_PBL.png
2020-01-01T18:36:02,Lascar,0.1,tons,,so2_mass,Sentinel-5P,data_mounts/lascar/2020/lascar_20200101T1836_SO2_PBL.png
2020-01-02T18:11:03,Villarrica,0.1,tons,,so2_mass,Sentinel-5P,data_mounts/villarrica/2020/villarrica_20200102T1811_SO2_PBL.png
2020-01-02T18:16:03,Lascar,48.2,tons,,so2_mass,Sentinel-5P,data_mounts/lascar/2020/lascar_20200102T1816_SO2_PBL.png
2020-01-03T17:51:02,Villarrica,0.1,tons,,so2_mass,Sentinel-5P,data_mounts/villarrica/2020/villarrica_20200103T1751_SO2_PBL.png
2020-01-03T17:56:02,Lascar,0.1,tons,,so2_mass,Sentinel-5P,data_mounts/lascar/2020/lascar_20200103T1756_SO2_PBL.png
2020-01-03T17:56:02,Villarrica,0.1,tons,,so2_mass,Sentinel-5P,data_mounts/villarrica/2020/villarrica_20200103T1756_SO2_PBL.png
2020-01-03T19:31:03,Villarrica,0.1,tons,,so2_mass,Sentinel-5P,data_mounts/villarrica/2020/villarrica_20200103T1931_SO2_PBL.png
2020-01-03T19:36:02,Villarrica,0.1,tons,,so2_mass,Sentinel-5P,data_mounts/villarrica/2020/villarrica_20200103T1936_SO2_PBL.png
2020-01-04T17:41:02,Lascar,0.1,tons,,so2_mass,Sentinel-5P,data_mounts/lascar/2020/lascar_20200104T1741_SO2_PBL.png
2020-01-04T19:16:03,Villarrica,0.1,tons,,so2_mass,Sentinel-5P,data_mounts/villarrica/2020/villarrica_20200104T1916_SO2_PBL.png
2020-01-05T17:21:02,Lascar,0.1,tons,,so2_mass,Sentinel-5P,data_mounts/lascar/2020/lascar_20200105T1721_SO2_PBL.png
2020-01-05T18:56:02,Villarrica,0.1,tons,,so2_mass,Sentinel-5P,data_mounts/villarrica/2020/villarrica_20200105T1856_SO2_PBL.png
2020-01-05T19:01:02,Lascar,0.1,tons,,so2_mass,Sentinel-5P,data_mounts/lascar/2020/lascar_20200105T1901_SO2_PBL.png
2020-01-06T18:36:02,Villarrica,0.1,tons,,so2_mass,Sentinel-5P,data_mounts/villarrica/2020/villarrica_20200106T1836_SO2_PBL.png
2020-01-06T18:41:02,Lascar,0.1,tons,,so2_mass,Sentinel-5P,data_mounts/lascar/2020/lascar_20200106T1841_SO2_PBL.png
2020-01-07T18:16:03,Villarrica,0.1,tons,,so2_mass,Sentinel-5P,data_mounts/villarrica/2020/villarrica_20200107T1816_SO2_PBL.png
2020-01-07T18:21:02,Lascar,0.1,tons,,so2_mass,Sentinel-5P,data_mounts/lascar/2020/lascar_20200107T1821_SO2_PBL.png
